Time (s);Fᵧ (N)
0.0000000000;-0.0181916246
0.0100000000;-0.0360212268
0.0200000000;-0.0360212268
0.0300000000;-0.0181916246
0.0400000000;-0.0181916246
0.0500000000;-0.0181916246
0.0600000000;-0.0181916246
0.0700000000;-0.0360212268
0.0800000000;-0.0360212268
0.0900000000;-0.0181916246
0.1000000000;-0.0181916246
0.1100000000;-0.0181916246
0.1200000000;-0.0181916246
0.1300000000;-0.0360212268
0.1400000000;-0.0181916246
0.1500000000;-0.0181916246
0.1600000000;-0.0181916246
0.1700000000;-0.0181916246
0.1800000000;-0.0181916246
0.1900000000;-0.0360212268
0.2000000000;-0.0360212268
0.2100000000;-0.0360212268
0.2200000000;-0.0181916246
0.2300000000;-0.0181916246
0.2400000000;-0.0181916246
0.2500000000;-0.0360212268
0.2600000000;-0.0181916246
0.2700000000;-0.0181916246
0.2800000000;-0.0360212268
0.2900000000;-0.0181916246
0.3000000000;-0.0181916246
0.3100000000;-0.0360212268
0.3200000000;-0.0181916246
0.3300000000;-0.0181916246
0.3400000000;-0.0181916246
0.3500000000;-0.0360212268
0.3600000000;-0.0181916246
0.3700000000;-0.0181916246
0.3800000000;-0.0181916246
0.3900000000;-0.0360212268
0.4000000000;-0.0181916246
0.4100000000;-0.0181916246
0.4200000000;-0.0360212268
0.4300000000;-0.0360212268
0.4400000000;-0.0181916246
0.4500000000;-0.0181916246
0.4600000000;-0.0360212268
0.4700000000;-0.0360212268
0.4800000000;-0.0360212268
0.4900000000;-0.0360212268
0.5000000000;-0.0360212268
0.5100000000;-0.0360212268
0.5200000000;-0.0360212268
0.5300000000;-0.0360212268
0.5303571429;-0.0360212268
0.5401785714;-0.0360212268
0.5600000000;-0.0360212268
0.5700000000;-0.0360212268
0.5800000000;-0.0360212268
0.5900000000;-0.0360212268
0.6000000000;-0.0181916246
0.6100000000;-0.0360212268
0.6200000000;-0.0360212268
0.6300000000;-0.0360212268
0.6400000000;-0.0360212268
0.6500000000;-0.0360212268
0.6600000000;-0.0360212268
0.6700000000;-0.0360212268
0.6800000000;-0.0360212268
0.6900000000;-0.0360212268
0.7000000000;-0.0360212268
0.7100000000;-0.0360212268
0.7200000000;-0.0360212268
0.7300000000;-0.0181916246
0.7400000000;-0.0360212268
0.7500000000;-0.0181916246
0.7600000000;-0.0360212268
0.7700000000;-0.0181916246
0.7800000000;-0.0181916246
0.7900000000;-0.0360212268
0.8000000000;-0.0181916246
0.8100000000;-0.0360212268
0.8200000000;-0.0360212268
0.8300000000;-0.0181916246
0.8400000000;-0.0181916246
0.8500000000;-0.0360212268
0.8600000000;-0.0360212268
0.8700000000;-0.0360212268
0.8800000000;-0.0181916246
0.8900000000;-0.0360212268
0.9000000000;-0.0360212268
0.9100000000;-0.0181916246
0.9200000000;-0.0360212268
0.9300000000;-0.0181916246
0.9400000000;-0.0360212268
0.9500000000;-0.0360212268
0.9600000000;-0.0181916246
0.9700000000;-0.0360212268
0.9800000000;-0.0360212268
0.9900000000;-0.0360212268
1.0000000000;-0.0360212268
1.0100000000;-0.0181916246
1.0200000000;-0.0360212268
1.0300000000;-0.0181916246
1.0400000000;-0.0360212268
1.0500000000;-0.0360212268
1.0600000000;-0.0360212268
1.0700000000;-0.0360212268
1.0800000000;-0.0360212268
1.0900000000;-0.0360212268
1.1000000000;-0.0360212268
1.1100000000;-0.0360212268
1.1200000000;-0.0360212268
1.1300000000;-0.0360212268
1.1400000000;-0.0360212268
1.1500000000;-0.0360212268
1.1600000000;-0.0538508290
1.1700000000;-0.0181916246
1.1800000000;-0.0181916246
1.1900000000;-0.0360212268
1.2000000000;-0.0181916246
1.2100000000;-0.0360212268
1.2200000000;-0.0360212268
1.2300000000;-0.0360212268
1.2400000000;-0.0360212268
1.2500000000;-0.0360212268
1.2600000000;-0.0360212268
1.2700000000;-0.0360212268
1.2800000000;-0.0360212268
1.2900000000;-0.0360212268
1.3000000000;-0.0360212268
1.3100000000;-0.0360212268
1.3200000000;-0.0360212268
1.3300000000;-0.0360212268
1.3400000000;-0.0360212268
1.3500000000;-0.0360212268
1.3600000000;-0.0360212268
1.3700000000;-0.0538508290
1.3800000000;-0.0538508290
1.3900000000;-0.0360212268
1.4000000000;-0.0360212268
1.4100000000;-0.0538508290
1.4200000000;-0.0360212268
1.4300000000;-0.0538508290
1.4400000000;-0.0360212268
1.4500000000;-0.0538508290
1.4600000000;-0.0538508290
1.4700000000;-0.0538508290
1.4800000000;-0.0538508290
1.4900000000;-0.0538508290
1.5000000000;-0.0538508290
1.5100000000;-0.0538508290
1.5200000000;-0.0538508290
1.5300000000;-0.0716804311
1.5400000000;-0.0538508290
1.5500000000;-0.0538508290
1.5600000000;-0.0716804311
1.5700000000;-0.0716804311
1.5800000000;-0.0716804311
1.5900000000;-0.0716804311
1.6000000000;-0.0716804311
1.6100000000;-0.0716804311
1.6200000000;-0.0716804311
1.6300000000;-0.0716804311
1.6400000000;-0.0716804311
1.6500000000;-0.0538508290
1.6600000000;-0.0716804311
1.6700000000;-0.0716804311
1.6800000000;-0.0716804311
1.6900000000;-0.0716804311
1.7000000000;-0.0716804311
1.7100000000;-0.0716804311
1.7200000000;-0.0716804311
1.7300000000;-0.0716804311
1.7400000000;-0.0716804311
1.7500000000;-0.0716804311
1.7600000000;-0.0716804311
1.7700000000;-0.0716804311
1.7800000000;-0.0716804311
