Time (s);Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3
0.0000000000;-0.4995908838;-0.4104428728;-0.4817612816
0.0100000000;-0.4817612816;-0.4104428728;-0.4691756800
0.0200000000;-0.4817612816;-0.4104428728;-0.4796636813
0.0300000000;-0.4965168144;-0.4282724750;-0.4817612816
0.0400000000;-0.4995908838;-0.4282724750;-0.4665408895
0.0500000000;-0.4840305037;-0.4104428728;-0.4794920595
0.0600000000;-0.4817612816;-0.4282724750;-0.4817612816
0.0700000000;-0.4817612816;-0.4282724750;-0.4817612816
0.0800000000;-0.4979551404;-0.4104428728;-0.4817612816
0.0900000000;-0.4832584237;-0.4282724750;-0.4817612816
0.1000000000;-0.4817612816;-0.4104428728;-0.4817612816
0.1100000000;-0.4983103046;-0.4104428728;-0.4817612816
0.1200000000;-0.4995908838;-0.4104428728;-0.4817612816
0.1300000000;-0.4828802943;-0.4104428728;-0.4650506921
0.1400000000;-0.4985382135;-0.4104428728;-0.4807086113
0.1500000000;-0.4995908838;-0.4104428728;-0.4817612816
0.1600000000;-0.4995908838;-0.4104428728;-0.4817612816
0.1700000000;-0.4995908838;-0.4104428728;-0.4817612816
0.1800000000;-0.4826123366;-0.4104428728;-0.4817612816
0.1900000000;-0.4987786893;-0.4104428728;-0.4817612816
0.2000000000;-0.4995908838;-0.4104428728;-0.4647084145
0.2100000000;-0.4995908838;-0.4104428728;-0.4810170332
0.2200000000;-0.4995908838;-0.4104428728;-0.4817612816
0.2300000000;-0.4824480921;-0.4104428728;-0.4817612816
0.2400000000;-0.4989295861;-0.4104428728;-0.4817612816
0.2500000000;-0.4995908838;-0.4104428728;-0.4817612816
0.2600000000;-0.4995908838;-0.4104428728;-0.4817612816
0.2700000000;-0.4995908838;-0.4104428728;-0.4817612816
0.2800000000;-0.4995908838;-0.4104428728;-0.4645074469
0.2900000000;-0.4995908838;-0.4104428728;-0.4812035443
0.3000000000;-0.4995908838;-0.4104428728;-0.4644724825
0.3100000000;-0.4995908838;-0.4104428728;-0.4812364137
0.3200000000;-0.4822711272;-0.4104428728;-0.4817612816
0.3300000000;-0.4990952237;-0.4104428728;-0.4817612816
0.3400000000;-0.4822435248;-0.4104428728;-0.4644139226
