Time (s);Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3;Fᵧ (N) --sensor: Force --remote: 1 --Run4;Fᵧ (N) --sensor: Force --remote: 1 --Run5;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run1;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run2;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run3;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run4;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run5
0.0000000000;-0.3034652596;-0.0716804311;-0.0181916246;-0.0360212268;-0.3034652596;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0025000000;-0.3034652596;-0.0716804311;-0.0360212268;-0.0360212268;-0.3212948618;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0050000000;-0.2945504586;-0.0716804311;-0.0360212268;-0.0538508290;-0.3034652596;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0075000000;-0.2856356575;-0.0716804311;-0.0181916246;-0.0360212268;-0.3212948618;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0100000000;-0.2945504586;-0.0805952322;-0.0181916246;-0.0360212268;-0.3034652596;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0125000000;-0.3034652596;-0.0895100333;-0.0360212268;-0.0360212268;-0.3212948618;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0150000000;-0.3034652596;-0.0984248344;-0.0360212268;-0.0538508290;-0.3034652596;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0175000000;-0.3034652596;-0.1251692377;-0.0360212268;-0.0360212268;-0.3212948618;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0266666667;-0.3034652596;-0.1251692377;-0.0181916246;-0.0360212268;-0.3052482199;0.0000000000;-0.0005998657;0.0000000000;0.0000000000;0.0000000000
0.0360000000;-0.3034652596;-0.1267901107;-0.0181916246;-0.0360212268;-0.3180531160;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;0.0000000000
0.0454545455;-0.3034652596;-0.1608284421;-0.0211632249;-0.0181916246;-0.3079226602;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;0.0000000000
0.0550000000;-0.2856356575;-0.1608284421;-0.0181916246;-0.0305351953;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;0.0000000000
0.0646153846;-0.3034652596;-0.1939405605;-0.0181916246;-0.0360212268;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;0.0000000000
0.0742857143;-0.3034652596;-0.2107513282;-0.0181916246;-0.0360212268;-0.3070311801;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;0.0000000000
0.0840000000;-0.2856356575;-0.2098598481;-0.0181916246;-0.0360212268;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;0.0000000000
0.0937500000;-0.2908796581;-0.2143172487;-0.0181916246;-0.0265820256;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0000582956
0.1035294118;-0.3034652596;-0.2202604494;-0.0181916246;-0.0271064257;-0.2945504586;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1133333333;-0.3034652596;-0.2321468509;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1231578947;-0.3034652596;-0.2321468509;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1330000000;-0.3034652596;-0.2499764531;-0.0266819113;-0.0258328827;-0.2958240016;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1428571429;-0.2856356575;-0.2321468509;-0.0279168621;-0.0181916246;-0.2856356575;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1527272727;-0.2949380586;-0.2406740519;-0.0181916246;-0.0181916246;-0.2856356575;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1626086957;-0.3034652596;-0.2321468509;-0.0181916246;-0.0181916246;-0.2967791588;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1725000000;-0.3034652596;-0.2499764531;-0.0181916246;-0.0181916246;-0.2856356575;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1824000000;-0.3034652596;-0.2499764531;-0.0181916246;-0.0243634099;-0.2918074428;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.1923076923;-0.3034652596;-0.2499764531;-0.0181916246;-0.0241348253;-0.2856356575;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2022222222;-0.3034652596;-0.2499764531;-0.0181916246;-0.0181916246;-0.2856356575;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2121428571;-0.3034652596;-0.2499764531;-0.0181916246;-0.0181916246;-0.2856356575;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2220689655;-0.2927674983;-0.2499764531;-0.0181916246;-0.0181916246;-0.2856356575;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
