Time (s);Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run1;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run2;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run3;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run4;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run5;Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3;Fᵧ (N) --sensor: Force --remote: 1 --Run4;Fᵧ (N) --sensor: Force --remote: 1 --Run5
0.0000000000;-9.7953036663;-9.9853893997;-9.7456665527;-9.7808891415;-9.8329674246;-2.3182103074;-2.7817799644;-2.2676931012;-2.5907485123;-2.5143359315
0.0100000000;-9.7899563426;-9.9291981158;-9.7508976303;-9.7701686616;-9.8215964359;-2.3182103074;-2.7817799644;-2.2672685868;-2.5905487409;-2.5143359315
0.0200000000;-9.7908281889;-9.8628855173;-9.7603135698;-9.7657771397;-9.8112783370;-2.3159816071;-2.7817799644;-2.2669502011;-2.5914227410;-2.5143359315
0.0300000000;-9.7920487736;-9.7983714962;-9.7703494890;-9.7676370784;-9.8004291870;-2.3162292405;-2.7817799644;-2.2667025677;-2.5932370446;-2.5143359315
0.0400000000;-9.7898788452;-9.7534399245;-9.7741468638;-9.7768994582;-9.7911490472;-2.3162292405;-2.7817799644;-2.2647215008;-2.5935786079;-2.5143359315
0.0500000000;-9.7898788452;-9.6997479074;-9.7822840955;-9.7862674642;-9.7879850894;-2.3162292405;-2.7817799644;-2.2647215008;-2.5953075390;-2.5143359315
0.0600000000;-9.7833690598;-9.6518591699;-9.7953036663;-9.8093958722;-9.7848207725;-2.3162292405;-2.7817799644;-2.2647215008;-2.5973175229;-2.5143359315
0.0700000000;-9.7790292028;-9.6305719622;-9.8153755046;-9.8329559435;-9.7859168971;-2.3162292405;-2.7817799644;-2.2647215008;-2.5975407417;-2.5143359315
0.0800000000;-9.7795716850;-9.6474847551;-9.8321924502;-9.8510457902;-9.7875596097;-2.3162292405;-2.7799806467;-2.2647215008;-2.5975407417;-2.5143359315
0.0900000000;-9.7871664346;-9.6811795088;-9.8457545031;-9.8639664027;-9.7906904978;-2.3162292405;-2.7779841797;-2.2647215008;-2.5993554595;-2.5143359315
0.1000000000;-9.7947611842;-9.7291383476;-9.8500943600;-9.8709317008;-9.8029754134;-2.3162292405;-2.7759901366;-2.2647215008;-2.6013495026;-2.5143359315
0.1100000000;-9.7985585590;-9.7802490383;-9.8462969852;-9.8652212652;-9.8140537664;-2.3182103074;-2.7758367636;-2.2647215008;-2.6015028755;-2.5123548646
0.1200000000;-9.8018134517;-9.8274398916;-9.8370747892;-9.8447607123;-9.8219190329;-2.3182103074;-2.7739883998;-2.2647215008;-2.6033512394;-2.5123548646
0.1300000000;-9.8088657192;-9.8722566838;-9.8256826648;-9.8204386710;-9.8320880394;-2.3182103074;-2.7738556967;-2.2647215008;-2.6053406746;-2.5103737977
0.1400000000;-9.8088657192;-9.9031234882;-9.8142905404;-9.8045365692;-9.8398812834;-2.3182103074;-2.7738556967;-2.2647215008;-2.6054650094;-2.5103737977
0.1500000000;-9.8088657192;-9.9166666981;-9.8028984159;-9.7985330304;-9.8469888722;-2.3182103074;-2.7719850499;-2.2647215008;-2.6054650094;-2.5103737977
0.1600000000;-9.8034408981;-9.9040021283;-9.7904213273;-9.7941125019;-9.8566311900;-2.3182103074;-2.7699981354;-2.2647215008;-2.6054650094;-2.5103737977
0.1700000000;-9.7958461484;-9.8692487022;-9.7801141671;-9.7941667899;-9.8793039445;-2.3201913743;-2.7698935629;-2.2647215008;-2.6054650094;-2.5083927308
0.1800000000;-9.7898788452;-9.8380082728;-9.7681795605;-9.7971764089;-9.9099188734;-2.3201913743;-2.7698935629;-2.2647215008;-2.6054650094;-2.5064116639
0.1900000000;-9.7866239525;-9.8241058187;-9.7600423288;-9.8019296979;-9.9460854525;-2.3201913743;-2.7698935629;-2.2647215008;-2.6054650094;-2.5044305969
0.2000000000;-9.7839115419;-9.8261069825;-9.7562449540;-9.8118010406;-9.9861359840;-2.3201913743;-2.7679987999;-2.2647215008;-2.6054650094;-2.5044305969
0.2100000000;-9.7801141671;-9.8413004394;-9.7584148824;-9.8286291229;-10.0242734545;-2.3221724412;-2.7698108687;-2.2647215008;-2.6054650094;-2.5024495300
0.2200000000;-9.7784867207;-9.8544550468;-9.7654671499;-9.8415368721;-10.0576241085;-2.3221724412;-2.7679918710;-2.2647215008;-2.6054650094;-2.5024495300
0.2300000000;-9.7822840955;-9.8633220634;-9.7784867207;-9.8450105276;-10.0959825288;-2.3241535081;-2.7660077414;-2.2647215008;-2.6054650094;-2.5004684631
0.2400000000;-9.7909638094;-9.8599998822;-9.7942187021;-9.8386648230;-10.1512694418;-2.3261345750;-2.7659314291;-2.2647215008;-2.6054650094;-2.4984873962
0.2500000000;-9.8056108265;-9.8509666425;-9.8099506834;-9.8351298904;-10.2265733558;-2.3261345750;-2.7659314291;-2.2647215008;-2.6054650094;-2.4945252624
0.2600000000;-9.8235127363;-9.8417330450;-9.8197153615;-9.8313612276;-10.3209460938;-2.3261345750;-2.7659314291;-2.2647215008;-2.6054650094;-2.4925441955
0.2700000000;-9.8381597535;-9.8325002105;-9.8235127363;-9.8290778546;-10.4186118719;-2.3281156419;-2.7659314291;-2.2647215008;-2.6073799647;-2.4905631286
0.2800000000;-9.8517218064;-9.8180184261;-9.8240552185;-9.8284290490;-10.5294881006;-2.3281156419;-2.7659314291;-2.2647215008;-2.6074460763;-2.4866009947
0.2900000000;-9.8620289666;-9.7996780100;-9.8251401827;-9.8248282812;-10.6728656537;-2.3300967088;-2.7678505252;-2.2647215008;-2.6093651724;-2.4826388609
0.3000000000;-9.8717936446;-9.7791119892;-9.8262251469;-9.8159189554;-10.8351878913;-2.3281156419;-2.7659915183;-2.2647215008;-2.6094271432;-2.4766956602
0.3100000000;-9.8739635731;-9.7647973950;-9.8262251469;-9.8066811784;-10.9880742413;-2.3300967088;-2.7659314291;-2.2647215008;-2.6094271432;-2.4687713926
0.3200000000;-9.8734210910;-9.7633282465;-9.8224277721;-9.8000057530;-11.1290468201;-2.3300967088;-2.7659314291;-2.2647215008;-2.6113515606;-2.4588660580
0.3300000000;-9.8690812341;-9.7780644551;-9.8132055761;-9.7945123766;-11.2417092110;-2.3300967088;-2.7659314291;-2.2647215008;-2.6114082101;-2.4469796565
0.3400000000;-9.8636564129;-9.8022381447;-9.8023559338;-9.7859964660;-11.3155423423;-2.3320777757;-2.7659314291;-2.2647215008;-2.6114082101;-2.4350932551
0.3500000000;-9.8533492527;-9.8266672409;-9.7887938809;-9.7747318648;-11.3481438577;-2.3300967088;-2.7659314291;-2.2647215008;-2.6133371066;-2.4212257867
0.3600000000;-9.8349048608;-9.8347099921;-9.7806566492;-9.7643557232;-11.3579580158;-2.3281156419;-2.7659314291;-2.2647215008;-2.6133892770;-2.4033961845
0.3700000000;-9.8170029509;-9.8232688108;-9.7768592744;-9.7550679201;-11.3312201625;-2.3281156419;-2.7639999206;-2.2647215008;-2.6153207855;-2.3875476492
0.3800000000;-9.8012709696;-9.7991543295;-9.7730618996;-9.7489346921;-11.2596095227;-2.3281156419;-2.7620176435;-2.2647215008;-2.6153703439;-2.3677369801
0.3900000000;-9.7871664346;-9.7694328487;-9.7714344532;-9.7445124250;-11.1551011268;-2.3300967088;-2.7619692953;-2.2647215008;-2.6153703439;-2.3459452441
0.4000000000;-9.7822840955;-9.7491172499;-9.7681795605;-9.7417213587;-11.0423831934;-2.3281156419;-2.7619692953;-2.2647215008;-2.6153703439;-2.3241535081
0.4100000000;-9.7795716850;-9.7401678610;-9.7654671499;-9.7447080214;-10.9231254195;-2.3281156419;-2.7619692953;-2.2667025677;-2.6153703439;-2.3003807052
0.4200000000;-9.7779442386;-9.7426225948;-9.7714344532;-9.7588624040;-10.7984147753;-2.3261345750;-2.7600322743;-2.2667025677;-2.6173073649;-2.2766079023
0.4300000000;-9.7774017565;-9.7564806676;-9.7828265777;-9.7823524081;-10.6645619063;-2.3261345750;-2.7599882284;-2.2686836346;-2.6192893902;-2.2508540324
0.4400000000;-9.7806566492;-9.7716536049;-9.8012709696;-9.8124811435;-10.5204190012;-2.3281156419;-2.7580493313;-2.2706647015;-2.6193324777;-2.2231190957
0.4500000000;-9.7925912557;-9.7910992495;-9.8208003258;-9.8366421886;-10.3702117786;-2.3281156419;-2.7580071615;-2.2726457684;-2.6193324777;-2.1953841589
0.4600000000;-9.8034408981;-9.8106369199;-9.8408721640;-9.8521986942;-10.2166918213;-2.3300967088;-2.7599477812;-2.2746268354;-2.6193324777;-2.1656681553
0.4700000000;-9.8088657192;-9.8307058853;-9.8587740739;-9.8601034531;-10.0514108244;-2.3300967088;-2.7599882284;-2.2766079023;-2.6193324777;-2.1359521516
0.4800000000;-9.8115781298;-9.8470627171;-9.8723361268;-9.8609231219;-9.8805704051;-2.3281156419;-2.7599882284;-2.2766079023;-2.6193324777;-2.1082172149
0.4900000000;-9.8142905404;-9.8542985453;-9.8858981797;-9.8546800476;-9.7085599370;-2.3300967088;-2.7599882284;-2.2766079023;-2.6212754328;-2.0785012112
0.5000000000;-9.8164604688;-9.8549664598;-9.8962053399;-9.8382405567;-9.5312082104;-2.3281156419;-2.7599882284;-2.2766079023;-2.6213135446;-2.0487852076
0.5100000000;-9.8202578436;-9.8406010178;-9.8972903041;-9.8114801613;-9.3484301837;-2.3281156419;-2.7619325960;-2.2785889692;-2.6213135446;-2.0190692039
0.5200000000;-9.8208003258;-9.8131662923;-9.8907805187;-9.7775381701;-9.1714108629;-2.3281156419;-2.7619692953;-2.2785889692;-2.6213135446;-1.9913342672
0.5300000000;-9.8202578436;-9.7812283785;-9.8783034300;-9.7438637775;-8.9977009679;-2.3281156419;-2.7639149745;-2.2785889692;-2.6213135446;-1.9655803974
0.5400000000;-9.8148330225;-9.7513437445;-9.8609440023;-9.7175422045;-8.8229863305;-2.3300967088;-2.7620040617;-2.2766079023;-2.6213135446;-1.9398265275
0.5500000000;-9.8132055761;-9.7412238622;-9.8359898250;-9.7072102810;-8.6535854645;-2.3300967088;-2.7580754948;-2.2746268354;-2.6213135446;-1.9120915908
0.5600000000;-9.8213428079;-9.7479881573;-9.8099506834;-9.7115985838;-8.4970803749;-2.3300967088;-2.7580071615;-2.2746268354;-2.6213135446;-1.8863377209
0.5700000000;-9.8305650038;-9.7694452499;-9.7811991313;-9.7285513754;-8.3541373079;-2.3320777757;-2.7580071615;-2.2766079023;-2.6213135446;-1.8625649180
0.5800000000;-9.8311074860;-9.7890161222;-9.7502776507;-9.7527446527;-8.2199628817;-2.3320777757;-2.7580071615;-2.2766079023;-2.6213135446;-1.8407731820
0.5900000000;-9.8370747892;-9.8010784250;-9.7209836164;-9.7845223901;-8.1040811643;-2.3320777757;-2.7580071615;-2.2766079023;-2.6213135446;-1.8229435798
0.6000000000;-9.8435845746;-9.8092790058;-9.6954869570;-9.8160192142;-8.0077221550;-2.3340588427;-2.7580071615;-2.2746268354;-2.6232631580;-1.8051139776
0.6100000000;-9.8533492527;-9.8131462274;-9.6743301545;-9.8427662851;-7.9282331037;-2.3340588427;-2.7580071615;-2.2746268354;-2.6252447166;-1.7892654423
