Time (s);Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run1;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run2;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run3;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run4;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run5;Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3;Fᵧ (N) --sensor: Force --remote: 1 --Run4;Fᵧ (N) --sensor: Force --remote: 1 --Run5;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run1;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run2;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run3;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run4;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run5
0.0000000000;-8.4624251077;-8.5181651451;-8.4998563737;-8.5389150860;-8.4795132944;-1.7588823218;-3.1681520064;-3.2302847563;-3.2828348432;-3.1313669456;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0025000000;-8.4605651690;-8.5136896677;-8.4982289274;-8.5421699787;-8.4800945252;-1.7566743350;-3.1684611246;-3.2324927431;-3.2828348432;-3.1291589587;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0050000000;-8.4616113845;-8.5090979440;-8.5043318512;-8.5446111483;-8.4799201559;-1.7573367310;-3.1686819233;-3.2318303471;-3.2828348432;-3.1298213548;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0075000000;-8.4597126971;-8.5045062204;-8.4982289274;-8.5291504080;-8.4824969460;-1.7578519280;-3.1689027219;-3.2313151501;-3.2828348432;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0100000000;-8.4613401435;-8.4986212582;-8.4928041062;-8.5139609087;-8.4852093566;-1.7578519280;-3.1690683210;-3.2313151501;-3.2828348432;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0125000000;-8.4673074467;-8.4927362959;-8.4922616241;-8.4960589989;-8.4824969460;-1.7578519280;-3.1692339200;-3.2333759379;-3.2828348432;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0150000000;-8.4738172321;-8.4889728263;-8.4873792850;-8.4835819102;-8.4797845354;-1.7599127157;-3.1693627192;-3.2333759379;-3.2828348432;-3.1323973394;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0175000000;-8.4738172321;-8.4781570891;-8.4767104701;-8.4746652502;-8.4784127416;-1.7612155125;-3.1701784477;-3.2372685369;-3.2828348432;-3.1323973394;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0266666667;-8.4770721248;-8.4630760862;-8.4744682107;-8.4537453939;-8.4765296427;-1.7619735034;-3.1694915184;-3.2379096708;-3.2828348432;-3.1323973394;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0360000000;-8.4799818016;-8.4527097462;-8.4602058627;-8.4189772219;-8.4714007209;-1.7638469468;-3.1694915184;-3.2410570557;-3.2828348432;-3.1342707828;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
